,city,cases
915,CARCASI,12
916,MACANAL,12
917,SANTA BARBARA DE PINTO,12
918,CORRALES,12
919,ZAPATOCA,12
920,MURILLO,12
921,CONFINES,12
922,ENCISO,12
923,LA SALINA,11
924,EL DORADO,11
925,LOPEZ (MICAY),11
926,OSPINA,11
927,NOCAIMA,11
928,TINJACA,11
929,MARGARITA,11
930,GUACAMAYAS,11
931,TURMEQUE,11
932,CHIVOR,10
933,YALI,10
934,EL ESPINO,10
935,GUACA,10
936,VERGARA,10
937,LOURDES,10
938,CHINAVITA,10
939,NOVITA,10
940,SAN JUAN DE ARAMA,10
941,PULI,10
942,CUITIVA,10
943,GUAVATA,9
944,SANTA ROSALIA,9
945,QUIPILE,9
946,PUERTO PARRA,9
947,RIO IRO,9
948,CHIPATA,9
949,FLORIAN,9
950,CHALAN,9
951,CONTRATACION,9
952,GUAYABAL DE SIQUIMA,8
953,HATO,8
954,SANTA SOFIA,8
955,SAN MIGUEL DE SEMA,8
956,PAIME,8
957,CACOTA,8
958,TIPACOQUE,8
959,SANTA ISABEL,7
960,ONZAGA,7
961,CHAGUANI,7
962,SATIVANORTE,7
963,SAN EDUARDO,7
964,NIMAIMA,7
965,BELEN DE BAJIRA,7
966,BUSBANZA,7
967,PUERTO SANTANDER (CD),7
968,AGUADA,7
969,SAN FELIPE (CD),6
970,PACHAVITA,6
971,GUAYATA,6
972,PANDI,6
973,GUATAQUI,6
974,PAJARITO,6
975,GAMA,6
976,CEPITA,5
977,FLORESTA,5
978,BERBEO,5
979,LA UVITA,5
980,SOMONDOCO,5
981,SUSACON,5
982,PALMAS SOCORRO,5
983,EL GUACAMAYO,4
984,CACHIRA,4
985,SUPATA,4
986,MACARAVITA,4
987,SAN BENITO,4
988,SAN MATEO,4
989,TENZA,4
990,ALPUJARRA,4
991,MANTA,4
992,CHISCAS,4
993,TIBIRITA,4
994,PALMAR,3
995,CARAMANTA,3
996,SACAMA,3
997,GALAN,3
998,SAN FERNANDO,3
999,JURADO,3
1000,PISBA,3
1001,PANQUEBA,3
1002,BITUIMA,3
1003,ENCINO,2
1004,UTICA,2
1005,GUAPOTA,2
1006,BELTRAN,2
1007,LA CAPILLA,2
1008,JORDAN,2
1009,JESUS MARIA,2
1010,LA PEÑA,2
1011,COROMORO,2
1012,TUTAZA,2
1013,LITORAL DEL BAJO SAN JUAN,2
1014,SATIVASUR,2
1015,EL CALVARIO,2
1016,CHARTA,2
1017,ALMEIDA,2
1018,PAYA,2
1019,GUICAN,1
1020,puerto COLOMBIA,1
1021,GUTIERREZ,1
1022,SAN JOSE DEL PALMAR,1
1023,BETEITIVA,1
1024,EL ENCANTO (CD),1
1025,PUERTO COLOMBIA (CD),1
1026,JERUSALEN,1
1027,Galapa,1
1028,LABRANZAGRANDE,1
1029,RONDON,1
