day,Colombia,Italy,Spain,Peru,Ecuador,Argentina,Chile,Venezuela,Brazil,Mexico
123,120281.0,233197,239932,305703.0,58257.0,72786.0,288089.0,10010.0,1313667.0,220657.0
124,124494.0,233515,240326,309278.0,59468.0,75376.0,291847.0,10428.0,1344143.0,226089.0
125,128638.0,233836,240660,312911.0,60657.0,77815.0,295532.0,10854.0,1368195.0,231770.0
126,133973.0,234013,240978,316448.0,61535.0,80447.0,298557.0,11191.0,1402041.0,238511.0
127,140776.0,234531,241310,319646.0,61958.0,83426.0,301019.0,11483.0,1448753.0,245251.0
128,145632.0,234801,241550,322710.0,62380.0,87030.0,303083.0,11891.0,1496858.0,252165.0
129,150445.0,234998,241717,326326.0,63245.0,90693.0,306216.0,12334.0,1539081.0,256848.0
130,154277.0,235278,241966,330123.0,63245.0,94060.0,309274.0,12774.0,1577004.0,261750.0
131,159898.0,235561,242280,333867.0,64221.0,97509.0,312029.0,13164.0,1603055.0,268008.0
132,165169.0,235763,242707,337751.0,65018.0,100166.0,315041.0,13613.0,1623284.0,275003.0
133,173206.0,236142,243209,341586.0,67209.0,103265.0,317657.0,14263.0,1668589.0,282283.0
134,182140.0,236305,243605,345537.0,67870.0,106910.0,319493.0,14929.0,1713160.0,289174.0
135,190700.0,236651,243928,349500.0,68459.0,111146.0,321205.0,15463.0,1755779.0,295268.0
136,197278.0,236989,244109,353590.0,69570.0,114783.0,323698.0,15988.0,1800827.0,299750.0
137,204005.0,237290,244328,357681.0,70329.0,119301.0,326439.0,16571.0,1839850.0,304435.0
138,211038.0,237500,244683,362087.0,71365.0,122524.0,328846.0,17158.0,1864681.0,311486.0
139,218428.0,237828,245268,366550.0,72444.0,126755.0,330930.0,17859.0,1884967.0,317635.0
140,226373.0,238159,245575,371096.0,73382.0,130774.0,333029.0,18574.0,1926824.0,324041.0
141,233541.0,238011,245938,375961.0,74013.0,136118.0,334683.0,19443.0,1966748.0,331298.0
142,240795.0,238275,246272,375961.0,74620.0,141900.0,336402.0,20206.0,2012151.0,338913.0
143,248976.0,238499,246504,375961.0,76217.0,148027.0,338759.0,20754.0,2046328.0,344224.0
144,257101.0,238720,246752,389717.0,77257.0,153520.0,341304.0,21438.0,2074860.0,349396.0
145,267385.0,238833,247086,395005.0,78148.0,158334.0,343592.0,22299.0,2098389.0,356255.0
146,276055.0,239410,247486,400683.0,79049.0,162526.0,345790.0,23280.0,2118646.0,362274.0
147,286020.0,239706,247905,400683.0,80036.0,167416.0,347923.0,24166.0,2159654.0,370712.0
148,295508.0,239961,248469,407492.0,80694.0,173355.0,349800.0,24961.0,2227514.0,378285.0
